Load_kW
" 17,166 "
" 17,145 "
" 16,804 "
" 17,192 "
" 17,124 "
" 17,772 "
" 17,757 "
" 18,907 "
" 18,147 "
" 17,866 "
" 18,621 "
" 19,841 "
" 19,265 "
" 19,055 "
" 19,460 "
" 17,758 "
" 17,169 "
" 17,727 "
" 17,848 "
" 17,602 "
" 18,019 "
" 17,454 "
" 16,876 "
" 17,560 "
" 17,555 "
" 16,929 "
" 17,339 "
" 17,226 "
" 17,744 "
" 18,674 "
" 19,123 "
" 18,726 "
" 17,761 "
" 18,501 "
" 18,947 "
" 18,851 "
" 18,934 "
" 19,056 "
" 18,673 "
" 18,057 "
" 17,323 "
" 17,214 "
" 17,711 "
" 18,596 "
